,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000006607,879.3753781,0.566480834,0.116710093,2.75E-07,3.80E-06
ENSG00000006625,194.5109867,-0.134848946,0.144683991,0.293329054,0.515239357
ENSG00000006634,85.6213999,-0.278314453,0.191033125,0.075768644,0.202033485
ENSG00000006638,65.88722934,-0.524405625,0.240079148,0.006062996,0.028216903
ENSG00000006652,1076.288783,-0.042586895,0.091416469,0.627684591,0.800757435
ENSG00000006695,184.518056,0.179270745,0.151677826,0.174369708,0.369273929
ENSG00000006704,281.5353964,-0.190742474,0.141300854,0.131472108,0.303410222
ENSG00000006712,1103.205495,-0.189257388,0.098889369,0.044082635,0.135455546
ENSG00000006715,2219.809735,-0.061179372,0.084342336,0.452356114,0.66624974
ENSG00000006740,35.64898236,-0.026012433,0.223042838,0.870555461,0.937419411
ENSG00000006744,925.3402734,0.147325154,0.102526115,0.127983073,0.297730177
ENSG00000006756,439.4079468,-0.005916911,0.12049587,0.956383307,0.979640623
ENSG00000006757,148.2565487,0.009983008,0.157076313,0.940834436,0.972536801
ENSG00000006788,10.25785354,2.615402327,1.046787729,0.00029038,0.002084403
ENSG00000006831,1095.794315,0.224690563,0.091694136,0.010440623,0.043788875
ENSG00000006837,11.68010571,-0.229266195,0.350869854,0.162183321,0.351383081
ENSG00000007047,782.8459339,0.079620002,0.0985205,0.394245421,0.614861918
ENSG00000007080,650.473744,0.216643802,0.110635812,0.036768249,0.117823106
ENSG00000007168,3295.953243,0.096715151,0.075747953,0.179713374,0.376405567
ENSG00000007202,4260.865328,-0.007317854,0.085747956,0.918366843,0.961348312
ENSG00000007237,428.0498073,-1.359690906,0.192663805,7.70E-14,2.58E-12
ENSG00000007255,129.1772557,0.185029492,0.187415552,0.222658838,0.432129789
ENSG00000007341,154.2712353,0.093630358,0.161571902,0.501451256,0.706170243
ENSG00000007372,32.26914916,0.154741452,0.24755215,0.356195282,0.577775881
ENSG00000007376,251.3789377,0.08951263,0.125764469,0.436086872,0.652675435
ENSG00000007384,1830.506783,0.05565613,0.094784243,0.538784376,0.736181912
ENSG00000007392,670.6016205,-0.163356271,0.098522906,0.084057803,0.218176933
ENSG00000007402,17.94245194,0.097026546,0.284476471,0.498079264,0.703559747
ENSG00000007516,8.165386065,0.075650461,0.292367156,0.560213297,0.75362789
ENSG00000007520,452.6852869,0.08849597,0.117505819,0.416846477,0.635435302
ENSG00000007541,648.0718105,0.139353979,0.121491734,0.212931915,0.41959369
ENSG00000007545,211.1031936,0.075107284,0.133792799,0.535192887,0.733327373
ENSG00000007866,1622.065827,0.576957884,0.08702188,7.92E-12,2.03E-10
ENSG00000007923,615.1523223,0.026343119,0.097577216,0.772005283,0.88794786
ENSG00000007933,861.0556198,0.220298587,0.11035535,0.032650217,0.107628994
ENSG00000007944,340.2749229,-0.466917278,0.122957305,4.59E-05,0.000399763
ENSG00000007952,9.822973615,0.16399506,0.320168639,0.267856305,0.486947447
ENSG00000008018,1522.848974,0.036737698,0.082177757,0.631592275,0.803580604
ENSG00000008056,18.08304304,0.275593388,0.355422521,0.126164946,0.294740069
ENSG00000008083,301.7027413,0.392202642,0.143312162,0.002325587,0.012600536
ENSG00000008086,102.6507605,-0.165615202,0.198484415,0.290125485,0.512171317
ENSG00000008128,22.34883425,-0.086688146,0.252514353,0.584025282,0.769427926
ENSG00000008130,1666.965105,0.745059759,0.126553549,5.89E-10,1.23E-08
ENSG00000008256,3721.674452,1.160741601,0.104836205,7.78E-30,9.71E-28
ENSG00000008277,18.10202855,-0.105572154,0.267218949,0.501509693,0.706170243
ENSG00000008282,1967.996723,0.253886595,0.105366266,0.009945535,0.042153103
ENSG00000008283,521.9669208,0.004090772,0.104958825,0.963862459,0.982390307
ENSG00000008294,2907.611631,-0.03054858,0.077880545,0.673895518,0.829856053
ENSG00000008300,87.44557431,0.18861332,0.188092649,0.216059486,0.423894459
ENSG00000008311,722.985701,1.07481032,0.108469449,3.52E-24,3.08E-22
ENSG00000008323,7.726620312,0.100222079,0.302729434,0.439395305,0.654852126
ENSG00000008324,122.012566,0.435619899,0.210177783,0.010831257,0.045017665
ENSG00000008382,82.59030776,0.042483441,0.17544522,0.771593188,0.887596905
ENSG00000008394,3594.966425,0.094906415,0.091195702,0.276760039,0.497349913
ENSG00000008405,268.5222447,0.069965859,0.143472319,0.587669545,0.772206158
ENSG00000008441,10822.15413,-0.318761393,0.071169686,4.26E-06,4.72E-05
ENSG00000008513,1571.142832,-0.576564213,0.098273078,9.59E-10,1.95E-08
ENSG00000008517,183.0744972,-0.67742596,0.19376509,6.75E-05,0.000568584
ENSG00000008710,5434.618725,0.441877945,0.130526495,0.000236748,0.001740069
ENSG00000008735,17.3811396,0.124829447,0.283040165,0.41732406,0.635812917
ENSG00000008838,1153.249173,-0.026498256,0.091592281,0.766620039,0.88547458
ENSG00000008853,559.3867813,0.513506024,0.119448811,4.51E-06,4.98E-05
ENSG00000008869,709.2590868,0.036096186,0.093656323,0.687377956,0.838169669
ENSG00000008952,5090.293211,0.16106917,0.080669634,0.038696116,0.122791729
ENSG00000008988,10833.98864,-0.036352539,0.073243557,0.59318311,0.775949152
ENSG00000009307,15807.26028,0.005844345,0.077185843,0.934405767,0.969414042
ENSG00000009335,2105.099539,0.193649019,0.080283756,0.012225916,0.049584873
ENSG00000009413,7595.985012,1.058720632,0.128906138,8.41E-18,4.07E-16
ENSG00000009724,39.36288879,-0.243289635,0.250666803,0.168360918,0.360950497
ENSG00000009780,174.6835669,0.494510677,0.178264425,0.001423079,0.008304299
ENSG00000009790,11.85392319,-0.062456555,0.27518746,0.662842915,0.82266423
ENSG00000009830,419.8917955,0.072347711,0.113331081,0.493359029,0.699870625
ENSG00000009844,845.0444998,-0.05302669,0.094631423,0.555634498,0.749734691
ENSG00000009954,2945.634462,-0.039728668,0.088907369,0.640263508,0.808723128
ENSG00000010017,1859.250584,0.686397284,0.126746409,9.53E-09,1.68E-07
ENSG00000010030,14.72591513,-0.363158445,0.417395546,0.072563436,0.196134004
ENSG00000010072,170.4920929,-0.05324155,0.141067906,0.672304813,0.828758128
ENSG00000010165,907.6195919,-0.028344406,0.09912711,0.764390696,0.883972842
ENSG00000010219,186.8503728,-0.204965127,0.140740982,0.103251011,0.254085347
ENSG00000010244,2030.949334,0.109883316,0.078517595,0.143745877,0.323165345
ENSG00000010256,1797.893723,0.450208727,0.093965261,5.73E-07,7.44E-06
ENSG00000010270,770.3957174,0.041716812,0.100656179,0.660327036,0.82125206
ENSG00000010278,3888.033637,0.545639624,0.098099283,6.30E-09,1.15E-07
ENSG00000010292,1193.150497,0.023938382,0.100860397,0.802203415,0.903737572
ENSG00000010295,1204.829898,-0.06949938,0.094505678,0.439367436,0.654852126
ENSG00000010310,14.35391822,-0.627369441,0.564714225,0.020775391,0.075677874
ENSG00000010318,73.84268506,-0.023393515,0.193045822,0.876364028,0.940941801
ENSG00000010322,2570.717901,-0.257408757,0.081422412,0.001209992,0.007236404
ENSG00000010361,183.1721877,0.123961809,0.144837753,0.335450196,0.557661169
ENSG00000010404,1953.412423,0.176448138,0.089594732,0.0407373,0.127730254
ENSG00000010438,14.2999641,0.02391233,0.272108979,0.865207772,0.935332934
ENSG00000010539,121.3215104,-0.098070425,0.160714595,0.478212661,0.688077322
ENSG00000010610,58.07588983,-0.162025721,0.214341488,0.318481733,0.541493991
ENSG00000010626,143.0124195,-0.195509059,0.157643266,0.153962332,0.338648297
ENSG00000010704,457.3966141,-0.137956191,0.126100449,0.232006622,0.443592385
ENSG00000010803,764.1162024,-0.00670972,0.09679233,0.942247569,0.973210148
ENSG00000010810,1685.076266,0.050971771,0.088308769,0.549661448,0.744725749
ENSG00000010818,1413.662496,-0.337539502,0.092968641,0.000129057,0.001012208
ENSG00000010932,32.48178234,0.10318352,0.326128306,0.220816204,0.429520127
ENSG00000011007,1101.450811,0.164816234,0.092349431,0.061022275,0.172466906
ENSG00000011009,464.8351012,0.192424579,0.109012027,0.060163332,0.170705969
ENSG00000011021,620.8904498,0.078589866,0.106119891,0.428936886,0.645544659
ENSG00000011028,16672.62304,-0.211815639,0.078987364,0.005442886,0.025713103
ENSG00000011105,3563.409766,0.270881062,0.0882618,0.001350456,0.007933512
ENSG00000011114,1189.572623,0.054337876,0.091070571,0.53221401,0.730512258
ENSG00000011132,191.1583304,0.080358967,0.140599598,0.52789298,0.72704663
ENSG00000011143,143.5692742,-0.253831335,0.15714119,0.063194268,0.177037825
ENSG00000011198,1160.975856,1.070880823,0.181910438,2.20E-10,4.77E-09
ENSG00000011243,658.1257627,-0.168727032,0.110579093,0.103771655,0.254951057
ENSG00000011258,369.4385553,-0.274472389,0.127241128,0.018703223,0.069799572
ENSG00000011260,409.4498329,0.221344724,0.117339039,0.041843676,0.130141988
ENSG00000011275,1721.736326,0.006477005,0.079863306,0.916695387,0.960507396
ENSG00000011295,407.2687117,0.11015056,0.120403074,0.323723869,0.546623192
ENSG00000011304,3594.488643,0.333943717,0.079696748,1.38E-05,0.000137045
ENSG00000011332,11.08679796,0.047607151,0.278381852,0.72865644,0.864449373
ENSG00000011347,148.6021429,-0.849665888,0.200234191,2.60E-06,2.99E-05
ENSG00000011376,427.9356409,0.026444689,0.109884881,0.790174162,0.897997358
ENSG00000011405,1507.46698,0.337455577,0.085221095,3.76E-05,0.000337159
ENSG00000011422,388.705565,0.038787675,0.135878504,0.750435034,0.87527044
ENSG00000011426,225.8495871,-0.014671744,0.126600825,0.894047681,0.949850542
ENSG00000011451,1526.768996,0.06558792,0.093457648,0.459602846,0.671961751
ENSG00000011454,2323.076298,0.39376617,0.112859862,0.000174531,0.001326854
ENSG00000011465,298721.4795,-0.093549152,0.074607313,0.196018322,0.397837847
ENSG00000011478,141.834883,0.620219708,0.173910565,6.53E-05,0.000551881
ENSG00000011485,968.0424902,0.522280552,0.106488663,2.60E-07,3.60E-06
ENSG00000011523,825.0579438,0.138591092,0.114935267,0.196098601,0.397952113
ENSG00000011566,1398.113021,0.787673619,0.103425448,3.82E-15,1.45E-13
ENSG00000011638,892.2872611,0.094491154,0.114896385,0.377535504,0.598145988
ENSG00000012048,221.5812919,-1.170298718,0.16964798,3.74E-13,1.16E-11
ENSG00000012061,837.238417,0.009691348,0.116748682,0.936448342,0.970445372
ENSG00000012171,1270.126155,-0.712580766,0.107510074,5.05E-12,1.33E-10
ENSG00000012174,724.0985071,0.101206459,0.100408093,0.28308702,0.504035209
ENSG00000012211,122.5345847,0.126922544,0.161543599,0.36241551,0.582645336
ENSG00000012232,1260.137509,0.082019286,0.088932922,0.337346471,0.559356781
ENSG00000012660,2386.650501,0.369838224,0.118075483,0.000734506,0.004695633
ENSG00000012817,797.0244417,-0.107309318,0.119174925,0.333327448,0.555394261
ENSG00000012822,6064.672925,0.381674369,0.108823048,0.000182142,0.001376515
ENSG00000012963,539.4678356,-0.113456144,0.11455841,0.284475114,0.505723284
ENSG00000012983,1885.680856,-0.100443962,0.079814212,0.21225482,0.4187625
ENSG00000013016,1958.672763,0.405169814,0.152358546,0.002654329,0.014060405
ENSG00000013275,937.9689402,0.123406087,0.091474924,0.156991794,0.343091363
ENSG00000013288,3150.891286,0.064595986,0.095201321,0.462344965,0.673904535
ENSG00000013293,245.1420168,-2.853117026,0.218048958,9.38E-41,1.85E-38
ENSG00000013297,3439.347861,-1.744204826,0.177223912,1.52E-24,1.38E-22
ENSG00000013306,976.5344057,-0.018537314,0.094817677,0.84132664,0.924591886
ENSG00000013364,7759.664269,0.129259965,0.07477712,0.074694645,0.200067575
ENSG00000013374,1250.969405,0.154222137,0.096222956,0.091017965,0.231479721
ENSG00000013375,998.9406499,-0.266535984,0.107623477,0.008250071,0.036193015
ENSG00000013392,251.2899207,-0.24105006,0.135426337,0.048525623,0.146025611
ENSG00000013441,2672.172485,0.224434771,0.131702839,0.057325257,0.164739389
ENSG00000013503,254.9209526,0.081526357,0.124969971,0.479584759,0.688868674
ENSG00000013523,345.8134246,-0.278088222,0.126664514,0.016303181,0.062285299
ENSG00000013561,888.9494439,0.288053068,0.108344432,0.004598754,0.022333147
ENSG00000013563,172.8769671,-0.008337911,0.14479124,0.94565012,0.974601589
ENSG00000013573,215.1641597,-0.454966659,0.153911911,0.000930106,0.005736394
ENSG00000013583,1390.387333,0.355178355,0.119543806,0.001349669,0.007931695
ENSG00000013588,582.7189269,-0.122896281,0.148493308,0.34500516,0.566845424
ENSG00000013619,1099.975579,0.328036437,0.118838023,0.00295615,0.015398702
ENSG00000013810,70.33924144,0.093202286,0.195482046,0.546777886,0.7427622
ENSG00000014123,882.0524209,-0.0999176,0.104387104,0.309680841,0.532224292
ENSG00000014138,159.8905172,-0.172646371,0.147597936,0.185287051,0.383552476
ENSG00000014164,451.8452223,0.015311345,0.114658614,0.888362993,0.947206697
ENSG00000014216,3455.415441,0.25115668,0.085761455,0.002260233,0.012282526
ENSG00000014257,15.56211707,-0.173444929,0.324556877,0.230412569,0.441613003
ENSG00000014641,1492.80155,-0.071315593,0.082917501,0.386682389,0.607591453
ENSG00000014824,1313.308687,0.117835023,0.092450223,0.181302084,0.378136391
ENSG00000014914,568.4657336,-0.416784403,0.120425984,0.000193107,0.001448172
ENSG00000014919,631.0765129,-0.078636315,0.098285092,0.396594139,0.617147336
ENSG00000015153,230.335136,0.334644782,0.167321908,0.020409483,0.074755192
ENSG00000015171,2170.478326,-0.033820281,0.07952351,0.687363644,0.838169669
ENSG00000015475,325.742469,0.001144568,0.116241243,0.98979533,0.995112495
ENSG00000015479,6866.990668,-0.138411504,0.078671942,0.063691152,0.178219247
ENSG00000015520,17.54660435,-2.541208664,0.624688024,2.44E-06,2.83E-05
ENSG00000015532,671.8717645,0.039102263,0.100368632,0.68159498,0.835016469
ENSG00000015568,1190.623223,-0.196388018,0.092741622,0.02640141,0.091339962
ENSG00000015676,1604.320822,0.024053031,0.088668144,0.778757307,0.891943152
ENSG00000016391,92.35130748,-1.944589597,0.262617007,6.27E-15,2.33E-13
ENSG00000016402,10.38796915,-0.330273512,0.466512848,0.06637391,0.18371271
ENSG00000016864,1567.918955,0.074105586,0.088049483,0.38515943,0.60581177
ENSG00000017260,2762.07295,-0.139813376,0.091160267,0.104768928,0.256830891
ENSG00000017427,839.6193231,-0.418049702,0.167800972,0.003990049,0.019867641
ENSG00000017483,446.6234281,-0.939337117,0.204155812,3.05E-07,4.18E-06
ENSG00000017621,17.98211375,-0.088170561,0.26424211,0.568040387,0.758298143
ENSG00000017797,3347.857694,0.543527896,0.093873138,1.77E-09,3.48E-08
ENSG00000018189,994.4704406,-0.289613794,0.100653915,0.002333641,0.012627686
ENSG00000018236,46.0578782,0.242505176,0.248180537,0.166066944,0.357788783
ENSG00000018408,2604.270889,0.104765952,0.085131205,0.201215862,0.404283104
ENSG00000018510,794.3015019,0.128335172,0.098803387,0.171386107,0.365312591
ENSG00000018610,276.1520702,-0.095101727,0.121337938,0.399648485,0.619634367
ENSG00000018625,673.4579375,-0.892692445,0.121375534,2.23E-14,7.84E-13
ENSG00000018699,270.4517667,0.004356375,0.132019626,0.972299028,0.986324857
ENSG00000018869,58.38449021,-0.051451845,0.203159123,0.741220749,0.871814285
ENSG00000019144,2987.583941,0.324316327,0.11193112,0.00189085,0.010544541
ENSG00000019186,14.11541631,-4.013129604,0.875876367,2.59E-07,3.60E-06
ENSG00000019485,185.3011684,0.32910685,0.177043504,0.027581445,0.094462285
ENSG00000019549,3025.870757,0.032983032,0.220892767,0.863000465,0.934199372
ENSG00000019582,44.20242523,-0.458384538,0.289695047,0.025535102,0.089085676
ENSG00000019991,1199.938751,-0.942897827,0.139078766,9.69E-13,2.80E-11
ENSG00000019995,2081.346273,0.906526995,0.105452208,9.49E-19,5.12E-17
ENSG00000020129,1038.680604,-0.483804902,0.099202031,3.25E-07,4.42E-06
ENSG00000020181,7871.948751,-0.307244391,0.115721775,0.004095462,0.020313296
ENSG00000020256,310.6043841,-0.251355061,0.149317994,0.053995816,0.158128561
ENSG00000020426,177.4941887,0.051280853,0.146708427,0.698878544,0.846199831
ENSG00000020577,3109.163921,1.188097733,0.093927942,9.26E-38,1.63E-35
ENSG00000020633,97.3541099,0.303486261,0.217866693,0.074691604,0.200067575
ENSG00000020922,346.4994549,0.045828232,0.113785025,0.666780184,0.825134884
ENSG00000021300,14.53913207,-0.130472174,0.290594613,0.389484903,0.610120778
ENSG00000021355,622.8483582,0.566556611,0.110397194,6.20E-08,9.64E-07
ENSG00000021574,499.3275696,0.064108967,0.112239261,0.541577722,0.738296688
ENSG00000021645,36.01985546,1.710462602,0.44522335,4.55E-06,5.02E-05
ENSG00000021762,1368.019358,0.382462675,0.10023451,5.69E-05,0.000485664
ENSG00000021776,1160.745814,0.203935208,0.095513563,0.024555183,0.086540205
ENSG00000021826,323.565915,-0.276326094,0.121112106,0.01329549,0.053079614
ENSG00000022267,10412.33587,0.492671941,0.085023828,2.05E-09,4.00E-08
ENSG00000022277,1456.46303,0.087511362,0.098638749,0.35088614,0.572146432
ENSG00000022567,149.3682144,0.215705857,0.153836238,0.109174551,0.264814505
ENSG00000022840,2670.462579,0.26133182,0.080112569,0.000719916,0.004625216
ENSG00000022976,178.7150053,-0.154048746,0.154056592,0.25177544,0.468122923
ENSG00000023041,675.9513298,0.173302585,0.098462151,0.062636141,0.175979246
ENSG00000023171,82.00746811,-0.59047997,0.247839271,0.002889228,0.015130836
ENSG00000023191,4823.34548,0.139837762,0.095812564,0.127204684,0.296376376
ENSG00000023228,1606.580487,0.112483929,0.090090335,0.191499269,0.391973589
ENSG00000023287,2808.309998,0.108148402,0.111005016,0.299566052,0.522117014
ENSG00000023318,1405.363888,0.210146714,0.088683198,0.013326504,0.053190636
ENSG00000023330,961.1709302,-0.25336691,0.094798583,0.004934383,0.02369532
ENSG00000023445,56.28167373,0.297785413,0.272023348,0.105651725,0.258308196
ENSG00000023516,1877.323268,-0.053981559,0.082850508,0.509292857,0.71164026
ENSG00000023572,91.27597479,0.181885599,0.19411198,0.247602766,0.463271196
ENSG00000023608,233.484238,0.68137796,0.142907836,3.09E-07,4.23E-06
ENSG00000023697,481.6360398,0.291883787,0.10670247,0.003599354,0.018223136
ENSG00000023734,2025.584544,0.26013378,0.094877824,0.003958947,0.019736463
ENSG00000023839,15.06415899,0.095140299,0.278211591,0.523839198,0.723756103
ENSG00000023902,705.7808987,0.383113664,0.101223193,6.35E-05,0.000538347
ENSG00000023909,1930.282585,1.198989369,0.118749984,3.79E-25,3.64E-23
ENSG00000024048,1337.423464,0.116152634,0.092648775,0.187596958,0.386752685
ENSG00000024422,11745.64711,0.161432101,0.076819318,0.028480328,0.096955798
